New Moon,First Quarter,Full Moon,Third Quarter
1817-01-17T00:00:00,1817-01-25T00:00:00,1817-02-01T00:00:00,1817-02-08T00:00:00
1817-02-16T00:00:00,1817-02-24T00:00:00,1817-03-03T00:00:00,1817-03-10T00:00:00
1817-03-17T00:00:00,1817-03-25T00:00:00,1817-04-01T00:00:00,1817-04-08T00:00:00
1817-04-16T00:00:00,1817-04-24T00:00:00,1817-05-01T00:00:00,1817-05-08T00:00:00
1817-05-16T00:00:00,1817-05-23T00:00:00,1817-05-30T00:00:00,1817-06-06T00:00:00
1817-06-14T00:00:00,1817-06-22T00:00:00,1817-06-28T00:00:00,1817-07-06T00:00:00
1817-07-14T00:00:00,1817-07-21T00:00:00,1817-07-28T00:00:00,1817-08-04T00:00:00
1817-08-12T00:00:00,1817-08-19T00:00:00,1817-08-26T00:00:00,1817-09-03T00:00:00
1817-09-11T00:00:00,1817-09-17T00:00:00,1817-09-25T00:00:00,1817-10-03T00:00:00
1817-10-10T00:00:00,1817-10-17T00:00:00,1817-10-24T00:00:00,1817-11-02T00:00:00
1817-11-08T00:00:00,1817-11-15T00:00:00,1817-11-23T00:00:00,1817-12-01T00:00:00
1817-12-08T00:00:00,1817-12-15T00:00:00,1817-12-23T00:00:00,1817-12-31T00:00:00
1818-01-06T00:00:00,1818-01-14T00:00:00,1818-01-22T00:00:00,1818-01-29T00:00:00
1818-02-05T00:00:00,1818-02-13T00:00:00,1818-02-20T00:00:00,1818-02-27T00:00:00
1818-03-06T00:00:00,1818-03-14T00:00:00,1818-03-22T00:00:00,1818-03-29T00:00:00
1818-04-05T00:00:00,1818-04-13T00:00:00,1818-04-20T00:00:00,1818-04-27T00:00:00
1818-05-05T00:00:00,1818-05-13T00:00:00,1818-05-20T00:00:00,1818-05-26T00:00:00
1818-06-03T00:00:00,1818-06-11T00:00:00,1818-06-18T00:00:00,1818-06-25T00:00:00
1818-07-03T00:00:00,1818-07-11T00:00:00,1818-07-17T00:00:00,1818-07-24T00:00:00
1818-08-02T00:00:00,1818-08-09T00:00:00,1818-08-16T00:00:00,1818-08-23T00:00:00
1818-08-31T00:00:00,1818-09-07T00:00:00,1818-09-14T00:00:00,1818-09-22T00:00:00
1818-09-30T00:00:00,1818-10-06T00:00:00,1818-10-14T00:00:00,1818-10-22T00:00:00
1818-10-29T00:00:00,1818-11-05T00:00:00,1818-11-12T00:00:00,1818-11-20T00:00:00
1818-11-28T00:00:00,1818-12-04T00:00:00,1818-12-12T00:00:00,1818-12-20T00:00:00
1818-12-27T00:00:00,None,None,None
None,1819-01-03T00:00:00,1819-01-11T00:00:00,1819-01-19T00:00:00
1819-01-25T00:00:00,1819-02-01T00:00:00,1819-02-10T00:00:00,1819-02-17T00:00:00
1819-02-24T00:00:00,1819-03-03T00:00:00,1819-03-11T00:00:00,1819-03-19T00:00:00
1819-03-25T00:00:00,1819-04-02T00:00:00,1819-04-10T00:00:00,1819-04-17T00:00:00
1819-04-24T00:00:00,1819-05-02T00:00:00,1819-05-09T00:00:00,1819-05-16T00:00:00
1819-05-23T00:00:00,1819-06-01T00:00:00,1819-06-08T00:00:00,1819-06-14T00:00:00
1819-06-22T00:00:00,1819-06-30T00:00:00,1819-07-07T00:00:00,1819-07-14T00:00:00
1819-07-22T00:00:00,1819-07-30T00:00:00,1819-08-05T00:00:00,1819-08-12T00:00:00
1819-08-20T00:00:00,1819-08-28T00:00:00,1819-09-04T00:00:00,1819-09-11T00:00:00
1819-09-19T00:00:00,1819-09-26T00:00:00,1819-10-03T00:00:00,1819-10-10T00:00:00
1819-10-19T00:00:00,1819-10-26T00:00:00,1819-11-02T00:00:00,1819-11-09T00:00:00
1819-11-17T00:00:00,1819-11-24T00:00:00,1819-12-01T00:00:00,1819-12-09T00:00:00
1819-12-17T00:00:00,1819-12-23T00:00:00,1819-12-31T00:00:00,None
None,None,None,1820-01-08T00:00:00
1820-01-15T00:00:00,1820-01-22T00:00:00,1820-01-30T00:00:00,1820-02-07T00:00:00
1820-02-14T00:00:00,1820-02-20T00:00:00,1820-02-28T00:00:00,1820-03-07T00:00:00
1820-03-14T00:00:00,1820-03-21T00:00:00,1820-03-29T00:00:00,1820-04-06T00:00:00
1820-04-12T00:00:00,1820-04-20T00:00:00,1820-04-28T00:00:00,1820-05-05T00:00:00
1820-05-12T00:00:00,1820-05-19T00:00:00,1820-05-27T00:00:00,1820-06-03T00:00:00
1820-06-10T00:00:00,1820-06-18T00:00:00,1820-06-26T00:00:00,1820-07-02T00:00:00
1820-07-10T00:00:00,1820-07-18T00:00:00,1820-07-25T00:00:00,1820-08-01T00:00:00
1820-08-08T00:00:00,1820-08-16T00:00:00,1820-08-23T00:00:00,1820-08-30T00:00:00
1820-09-07T00:00:00,1820-09-15T00:00:00,1820-09-22T00:00:00,1820-09-28T00:00:00
1820-10-07T00:00:00,1820-10-14T00:00:00,1820-10-21T00:00:00,1820-10-28T00:00:00
1820-11-05T00:00:00,1820-11-13T00:00:00,1820-11-19T00:00:00,1820-11-27T00:00:00
1820-12-05T00:00:00,1820-12-12T00:00:00,1820-12-19T00:00:00,1820-12-27T00:00:00
1821-01-04T00:00:00,1821-01-10T00:00:00,1821-01-18T00:00:00,1821-01-26T00:00:00
